id,name,gender,gender_probability,age,age_group,country_id,country_name,country_probability,created_at
019dcf06-e7ab-7ee6-a192-edbeb47398f0,Alex 10,female,0.09,44,adult,GB,United Kingdom,0.19,2026-04-27T13:00:29.483Z
019dcf07-17f0-719f-8128-5da2d83759ce,Alex 1006,male,0.49,64,adult,GB,United Kingdom,0.81,2026-04-27T13:00:41.840Z
019dcf06-fa8e-7787-90b3-b6f780324327,Alex 101,female,0.84,14,teenager,US,United States,0.18,2026-04-27T13:00:34.318Z
019dcf07-17f0-719f-8128-5da79339d444,Alex 1011,female,0.89,22,adult,GB,United Kingdom,0.79,2026-04-27T13:00:41.840Z
019dcf07-17f0-719f-8128-5dab2ef52ab4,Alex 1015,male,0.6,59,adult,KE,Kenya,0.47,2026-04-27T13:00:41.840Z
019dcf07-17f0-719f-8128-5daff5c9ce0c,Alex 1019,male,0.41,26,adult,US,United States,0.75,2026-04-27T13:00:41.840Z
019dcf07-17f0-719f-8128-5db4feb68b91,Alex 1024,male,0.12,44,adult,US,United States,0.94,2026-04-27T13:00:41.840Z
019dcf07-17f0-719f-8128-5db8a2df51cf,Alex 1028,female,0.88,48,adult,NG,Nigeria,0.46,2026-04-27T13:00:41.840Z
019dcf07-17f0-719f-8128-5db9fe2087f8,Alex 1029,female,0.49,14,teenager,GB,United Kingdom,0.26,2026-04-27T13:00:41.840Z
019dcf06-fa8e-7787-90b3-b6f9c0b24e42,Alex 103,male,0.75,57,adult,NG,Nigeria,0.81,2026-04-27T13:00:34.318Z
019dcf07-17f0-719f-8128-5dd370484a33,Alex 1055,female,0.6,29,adult,CA,Canada,0.96,2026-04-27T13:00:41.840Z
019dcf07-17f0-719f-8128-5dd6202727e4,Alex 1058,male,0.95,43,adult,KE,Kenya,0.57,2026-04-27T13:00:41.840Z
019dcf07-17f0-719f-8128-5ddb6b59ef6e,Alex 1063,female,0.45,35,adult,GB,United Kingdom,0.24,2026-04-27T13:00:41.840Z
019dcf07-17f0-719f-8128-5de7264aa827,Alex 1075,male,0.18,44,adult,NG,Nigeria,0.45,2026-04-27T13:00:41.840Z
019dcf07-17f0-719f-8128-5deb03789b6a,Alex 1079,female,0.32,21,adult,CA,Canada,0.65,2026-04-27T13:00:41.840Z
019dcf07-17f0-719f-8128-5dedb8c023dc,Alex 1081,male,0.39,40,adult,US,United States,0.95,2026-04-27T13:00:41.840Z
019dcf07-17f0-719f-8128-5df2f16e95d4,Alex 1086,female,0.03,22,adult,GB,United Kingdom,0.73,2026-04-27T13:00:41.840Z
019dcf07-17f0-719f-8128-5df476a1c83f,Alex 1088,male,0.77,22,adult,CA,Canada,0.87,2026-04-27T13:00:41.840Z
019dcf06-fa8e-7787-90b3-b70068c3e922,Alex 110,male,0.51,21,adult,GB,United Kingdom,0.36,2026-04-27T13:00:34.318Z
019dcf07-1b01-7f16-b6c8-e74cd7b9980e,Alex 1100,female,0.88,23,adult,CA,Canada,0.16,2026-04-27T13:00:42.625Z
019dcf07-1b01-7f16-b6c8-e74e325661c5,Alex 1102,female,0.91,42,adult,US,United States,0.28,2026-04-27T13:00:42.625Z
019dcf07-1b01-7f16-b6c8-e750faccef2a,Alex 1104,female,0.74,54,adult,GB,United Kingdom,0.65,2026-04-27T13:00:42.625Z
019dcf07-1b01-7f16-b6c8-e76c8fb8b4c9,Alex 1132,male,0.32,26,adult,CA,Canada,0.22,2026-04-27T13:00:42.625Z
019dcf07-1b01-7f16-b6c8-e7762d8b7fb0,Alex 1142,male,0.41,31,adult,GB,United Kingdom,0.81,2026-04-27T13:00:42.625Z
019dcf07-1b01-7f16-b6c8-e77d4cc46c29,Alex 1149,male,0.13,40,adult,GB,United Kingdom,0.83,2026-04-27T13:00:42.625Z
019dcf07-1b01-7f16-b6c8-e77e6be1e769,Alex 1150,female,0.68,42,adult,GB,United Kingdom,0.58,2026-04-27T13:00:42.625Z
019dcf07-1b01-7f16-b6c8-e78f2940b1eb,Alex 1167,male,0.16,65,adult,KE,Kenya,0.75,2026-04-27T13:00:42.625Z
019dcf07-1b01-7f16-b6c8-e795eb79ee48,Alex 1173,female,0.19,22,adult,US,United States,0.52,2026-04-27T13:00:42.625Z
019dcf07-1b01-7f16-b6c8-e79ba3ff57a7,Alex 1179,male,0.4,16,teenager,GB,United Kingdom,0.04,2026-04-27T13:00:42.625Z
019dcf07-1b01-7f16-b6c8-e79cbdb8e485,Alex 1180,female,0.15,51,adult,GB,United Kingdom,0.62,2026-04-27T13:00:42.625Z
019dcf07-1b01-7f16-b6c8-e79dcf1b7b82,Alex 1181,female,0.04,60,adult,NG,Nigeria,0.63,2026-04-27T13:00:42.625Z
019dcf07-1b01-7f16-b6c8-e7ac4f9f1375,Alex 1196,female,0.4,54,adult,GB,United Kingdom,0.1,2026-04-27T13:00:42.625Z
019dcf07-1dc2-7aa3-986b-331bf2327701,Alex 1219,female,0.93,43,adult,US,United States,0.53,2026-04-27T13:00:43.330Z
019dcf07-1dc2-7aa3-986b-3320558a44ae,Alex 1224,male,0.79,40,adult,CA,Canada,0.56,2026-04-27T13:00:43.330Z
019dcf07-1dc2-7aa3-986b-332ff0265d9f,Alex 1239,female,0.52,25,adult,GB,United Kingdom,0.03,2026-04-27T13:00:43.330Z
019dcf07-1dc2-7aa3-986b-333c460aaae3,Alex 1252,male,0.4,61,adult,CA,Canada,0.75,2026-04-27T13:00:43.330Z
019dcf07-1dc2-7aa3-986b-334bf81558ce,Alex 1267,female,0.16,19,teenager,US,United States,0.84,2026-04-27T13:00:43.330Z
019dcf06-fa8e-7787-90b3-b71196ea7f4d,Alex 127,male,0.86,61,adult,GB,United Kingdom,0.91,2026-04-27T13:00:34.318Z
019dcf06-fa8e-7787-90b3-b713351e6b72,Alex 129,female,0.31,34,adult,KE,Kenya,0.97,2026-04-27T13:00:34.318Z
019dcf07-1dc2-7aa3-986b-336223b55865,Alex 1290,male,0.89,50,adult,CA,Canada,0.58,2026-04-27T13:00:43.330Z
019dcf07-1dc2-7aa3-986b-336bebde7018,Alex 1299,male,0.68,24,adult,GB,United Kingdom,0.72,2026-04-27T13:00:43.330Z
019dcf07-2083-71b0-8f01-4875035d37d1,Alex 1303,male,0.79,13,teenager,KE,Kenya,0.09,2026-04-27T13:00:44.035Z
019dcf07-2083-71b0-8f01-48781ef1ceae,Alex 1306,male,0.01,58,adult,US,United States,0.31,2026-04-27T13:00:44.035Z
019dcf07-2083-71b0-8f01-48888da925c9,Alex 1322,female,0.47,45,adult,US,United States,0.58,2026-04-27T13:00:44.035Z
019dcf07-2083-71b0-8f01-488a393fd92b,Alex 1324,male,0.63,22,adult,KE,Kenya,0.21,2026-04-27T13:00:44.035Z
019dcf07-2083-71b0-8f01-48984ef06345,Alex 1338,female,0.21,39,adult,KE,Kenya,0.52,2026-04-27T13:00:44.035Z
019dcf07-2083-71b0-8f01-489a8494428e,Alex 1340,female,0.94,48,adult,KE,Kenya,0.22,2026-04-27T13:00:44.035Z
019dcf07-2083-71b0-8f01-489cd1c143de,Alex 1342,male,0.52,44,adult,GB,United Kingdom,0.03,2026-04-27T13:00:44.035Z
019dcf07-2083-71b0-8f01-489fee958f0c,Alex 1345,female,0.8,51,adult,GB,United Kingdom,0.55,2026-04-27T13:00:44.035Z
019dcf07-2083-71b0-8f01-48a00466136e,Alex 1346,female,0.91,54,adult,NG,Nigeria,0.08,2026-04-27T13:00:44.035Z
019dcf07-2083-71b0-8f01-48a38bd4d975,Alex 1349,male,0.7,63,adult,GB,United Kingdom,0.37,2026-04-27T13:00:44.035Z
019dcf07-2083-71b0-8f01-48a9163d3c26,Alex 1355,male,0.04,56,adult,GB,United Kingdom,0.26,2026-04-27T13:00:44.035Z
019dcf07-2083-71b0-8f01-48b26cfb5c34,Alex 1364,male,0.76,31,adult,KE,Kenya,0.04,2026-04-27T13:00:44.035Z
019dcf07-2083-71b0-8f01-48b6bc9381b8,Alex 1368,male,0.9,24,adult,GB,United Kingdom,0.83,2026-04-27T13:00:44.035Z
019dcf07-2083-71b0-8f01-48c81657efc9,Alex 1386,female,0.13,65,adult,GB,United Kingdom,0.37,2026-04-27T13:00:44.035Z
019dcf07-2083-71b0-8f01-48d1b7b1e97c,Alex 1395,female,0.96,25,adult,GB,United Kingdom,0.69,2026-04-27T13:00:44.035Z
019dcf07-23d9-705a-a3d3-92b9d0e757fe,Alex 1414,female,0.18,51,adult,CA,Canada,0.1,2026-04-27T13:00:44.889Z
019dcf07-23d9-705a-a3d3-92c9abcae394,Alex 1430,female,0.31,11,teenager,NG,Nigeria,0.48,2026-04-27T13:00:44.889Z
019dcf07-23d9-705a-a3d3-92cbc853c5a0,Alex 1432,female,0.79,43,adult,NG,Nigeria,0.35,2026-04-27T13:00:44.889Z
019dcf07-23d9-705a-a3d3-92f015d1aaa2,Alex 1469,female,0.67,46,adult,CA,Canada,0.13,2026-04-27T13:00:44.889Z
019dcf07-23d9-705a-a3d3-92f3bcc03f58,Alex 1472,female,0.21,47,adult,GB,United Kingdom,0.28,2026-04-27T13:00:44.889Z
019dcf06-fa8f-7798-8662-291b48a8b2b9,Alex 149,male,0.98,39,adult,NG,Nigeria,0.05,2026-04-27T13:00:34.319Z
019dcf07-26b7-7fce-85b4-a840de5ea169,Alex 1501,female,0.23,64,adult,KE,Kenya,0.41,2026-04-27T13:00:45.623Z
019dcf07-26b7-7fce-85b4-a84a1431f182,Alex 1511,female,0.68,49,adult,CA,Canada,0.59,2026-04-27T13:00:45.623Z
019dcf07-26b7-7fce-85b4-a854f5d47031,Alex 1521,female,0.25,14,teenager,US,United States,0.56,2026-04-27T13:00:45.623Z
019dcf07-26b7-7fce-85b4-a8578d1689c4,Alex 1524,male,0.61,43,adult,KE,Kenya,0.09,2026-04-27T13:00:45.623Z
019dcf07-26b7-7fce-85b4-a863fbee52f0,Alex 1536,female,0.83,28,adult,CA,Canada,0.85,2026-04-27T13:00:45.623Z
019dcf07-26b7-7fce-85b4-a86a6e32fca8,Alex 1543,female,0.14,33,adult,CA,Canada,0.01,2026-04-27T13:00:45.623Z
019dcf07-26b7-7fce-85b4-a878c0cb04c3,Alex 1557,female,0.72,25,adult,GB,United Kingdom,0.52,2026-04-27T13:00:45.623Z
019dcf07-26b7-7fce-85b4-a88ee9a11937,Alex 1579,female,0.42,65,adult,KE,Kenya,0.33,2026-04-27T13:00:45.623Z
019dcf07-26b7-7fce-85b4-a89174a3d983,Alex 1582,male,0.18,59,adult,CA,Canada,1,2026-04-27T13:00:45.623Z
019dcf07-26b7-7fce-85b4-a893fbef1893,Alex 1584,male,0.42,32,adult,CA,Canada,0.86,2026-04-27T13:00:45.623Z
019dcf07-26b7-7fce-85b4-a8974a357162,Alex 1588,male,0.01,13,teenager,US,United States,0.8,2026-04-27T13:00:45.623Z
019dcf07-29b0-7ffe-a71b-87e8fa70669a,Alex 1624,female,0.23,12,teenager,KE,Kenya,0.94,2026-04-27T13:00:46.384Z
019dcf07-29b0-7ffe-a71b-87eca298d047,Alex 1628,male,0.92,29,adult,GB,United Kingdom,0.28,2026-04-27T13:00:46.384Z
019dcf07-29b0-7ffe-a71b-87ed4c3f1529,Alex 1629,male,0.84,40,adult,GB,United Kingdom,0.63,2026-04-27T13:00:46.384Z
019dcf07-29b0-7ffe-a71b-87f6ec4d3c8b,Alex 1638,male,0.77,51,adult,KE,Kenya,0.01,2026-04-27T13:00:46.384Z
019dcf07-29b0-7ffe-a71b-87f90237f555,Alex 1641,female,0.72,20,adult,GB,United Kingdom,0.86,2026-04-27T13:00:46.384Z
019dcf07-29b0-7ffe-a71b-8814ab034d74,Alex 1668,female,0.59,44,adult,GB,United Kingdom,0.2,2026-04-27T13:00:46.384Z
019dcf07-29b0-7ffe-a71b-881a4750648a,Alex 1674,male,0.54,30,adult,KE,Kenya,0.48,2026-04-27T13:00:46.384Z
019dcf07-29b0-7ffe-a71b-881b5517b113,Alex 1675,female,0.35,30,adult,GB,United Kingdom,0.11,2026-04-27T13:00:46.384Z
019dcf07-29b0-7ffe-a71b-882391a96a4e,Alex 1683,female,0.05,18,teenager,NG,Nigeria,0.43,2026-04-27T13:00:46.384Z
019dcf07-29b0-7ffe-a71b-88248cb89413,Alex 1684,female,0.73,49,adult,NG,Nigeria,0.72,2026-04-27T13:00:46.384Z
019dcf07-29b0-7ffe-a71b-882b638e7a5b,Alex 1691,female,0.08,12,teenager,NG,Nigeria,0.32,2026-04-27T13:00:46.384Z
019dcf07-29b0-7ffe-a71b-88321cf31397,Alex 1698,male,0.66,26,adult,US,United States,0.4,2026-04-27T13:00:46.384Z
019dcf07-2c9e-7bb3-830c-7f8f20f75709,Alex 1716,female,0.7,45,adult,CA,Canada,0.61,2026-04-27T13:00:47.134Z
019dcf07-2c9e-7bb3-830c-7f94ae97e27a,Alex 1721,male,0.1,31,adult,KE,Kenya,0.29,2026-04-27T13:00:47.134Z
019dcf07-2c9e-7bb3-830c-7f9ec265d46c,Alex 1731,female,0.52,18,teenager,CA,Canada,0.99,2026-04-27T13:00:47.134Z
019dcf06-fa8f-7798-8662-2934e52b4ed8,Alex 174,female,0.28,62,adult,KE,Kenya,0.79,2026-04-27T13:00:34.319Z
019dcf06-fa8f-7798-8662-29362ae965d0,Alex 176,male,0,30,adult,US,United States,0.04,2026-04-27T13:00:34.319Z
019dcf07-2c9e-7bb3-830c-7fbc85537bde,Alex 1761,male,0.2,32,adult,US,United States,0.6,2026-04-27T13:00:47.134Z
019dcf07-2c9e-7bb3-830c-7fc28c7ee105,Alex 1767,female,0.78,11,teenager,KE,Kenya,0.39,2026-04-27T13:00:47.134Z
019dcf07-2c9e-7bb3-830c-7fd087877f6a,Alex 1781,female,0.44,38,adult,GB,United Kingdom,0.16,2026-04-27T13:00:47.134Z
019dcf07-2c9e-7bb3-830c-7fd2a54d9c94,Alex 1783,female,0.9,54,adult,GB,United Kingdom,0.42,2026-04-27T13:00:47.134Z
019dcf07-2fa2-7e50-915e-63eaf6fbc7dd,Alex 1808,female,0.79,52,adult,NG,Nigeria,0.97,2026-04-27T13:00:47.906Z
019dcf07-2fa3-7726-a116-e372b191c5c4,Alex 1824,male,0.38,69,adult,CA,Canada,0.42,2026-04-27T13:00:47.907Z
019dcf07-2fa3-7726-a116-e38973315f70,Alex 1847,male,0.78,67,adult,US,United States,0.17,2026-04-27T13:00:47.907Z
019dcf06-fa8f-7798-8662-293f793d20e2,Alex 185,female,0.07,20,adult,CA,Canada,0.29,2026-04-27T13:00:34.319Z
019dcf07-2fa3-7726-a116-e39973fbdf75,Alex 1863,male,0.6,39,adult,GB,United Kingdom,0.65,2026-04-27T13:00:47.907Z
019dcf07-2fa3-7726-a116-e3a3015382c3,Alex 1873,male,0.06,39,adult,GB,United Kingdom,0.32,2026-04-27T13:00:47.907Z
019dcf07-3267-711a-b53a-cdeff8d062c1,Alex 1904,female,0.21,65,adult,CA,Canada,0.2,2026-04-27T13:00:48.615Z
019dcf07-3267-711a-b53a-cdf2af62cc0c,Alex 1907,female,0.15,14,teenager,CA,Canada,0.52,2026-04-27T13:00:48.615Z
019dcf07-3267-711a-b53a-ce0f84d9afdf,Alex 1936,male,0.09,35,adult,NG,Nigeria,0.77,2026-04-27T13:00:48.615Z
019dcf07-3267-711a-b53a-ce196cf65c14,Alex 1946,male,0.84,29,adult,NG,Nigeria,0.48,2026-04-27T13:00:48.615Z
019dcf06-fa8f-7798-8662-2949b22b1c5b,Alex 195,female,0.96,67,adult,US,United States,0.13,2026-04-27T13:00:34.319Z
019dcf07-3267-711a-b53a-ce25015162fa,Alex 1958,male,0.65,64,adult,GB,United Kingdom,0.05,2026-04-27T13:00:48.615Z
019dcf07-3267-711a-b53a-ce2e55f7488a,Alex 1967,female,0.26,35,adult,KE,Kenya,0.22,2026-04-27T13:00:48.615Z
019dcf07-3267-711a-b53a-ce3a21576c5d,Alex 1979,male,0.75,28,adult,NG,Nigeria,0.99,2026-04-27T13:00:48.615Z
019dcf07-3267-711a-b53a-ce3fc5d413a6,Alex 1984,male,0.3,25,adult,NG,Nigeria,0.13,2026-04-27T13:00:48.615Z
019dcf07-3267-711a-b53a-ce46de02c5dd,Alex 1991,female,0.36,67,adult,CA,Canada,0.45,2026-04-27T13:00:48.615Z
019dcf07-352e-74e5-bd64-7132804f561c,Alex 2004,male,0.93,38,adult,KE,Kenya,0.91,2026-04-27T13:00:49.326Z
019dcf07-352e-74e5-bd64-7134ff861424,Alex 2006,female,0.5,45,adult,KE,Kenya,0.35,2026-04-27T13:00:49.326Z
019dcf06-fd63-7de4-bf91-aba7460f738f,Alex 207,female,0.09,68,adult,KE,Kenya,0.84,2026-04-27T13:00:35.043Z
019dcf06-fd63-7de4-bf91-abb4cdaa11d9,Alex 220,male,0.21,45,adult,GB,United Kingdom,0.41,2026-04-27T13:00:35.043Z
019dcf06-fd63-7de4-bf91-abb864fa8777,Alex 224,male,0.41,49,adult,GB,United Kingdom,0.04,2026-04-27T13:00:35.043Z
019dcf06-fd63-7de4-bf91-abc033e3c69a,Alex 232,male,0.54,62,adult,NG,Nigeria,0.76,2026-04-27T13:00:35.043Z
019dcf06-e7ab-7ee6-a192-edcdd93c50c7,Alex 25,male,0.21,26,adult,KE,Kenya,0.84,2026-04-27T13:00:29.483Z
019dcf06-fd63-7de4-bf91-abde72270559,Alex 262,female,0.03,18,teenager,NG,Nigeria,0.29,2026-04-27T13:00:35.043Z
019dcf06-fd64-774f-a45b-fb95fba5476d,Alex 279,male,0.58,52,adult,US,United States,0.32,2026-04-27T13:00:35.044Z
019dcf06-e7ab-7ee6-a192-edd0e7b9bf4b,Alex 28,female,0.82,30,adult,GB,United Kingdom,0.21,2026-04-27T13:00:29.483Z
019dcf06-fd64-774f-a45b-fba967779d5e,Alex 299,female,0.88,15,teenager,GB,United Kingdom,0.21,2026-04-27T13:00:35.044Z
019dcf07-0082-7eb0-ad88-4c0626e28344,Alex 306,male,0.8,53,adult,GB,United Kingdom,0.12,2026-04-27T13:00:35.842Z
019dcf07-0082-7eb0-ad88-4c17dd2cfc68,Alex 323,male,0.01,30,adult,US,United States,0.5,2026-04-27T13:00:35.842Z
019dcf07-0082-7eb0-ad88-4c1b603b254e,Alex 327,female,0.37,41,adult,CA,Canada,0.24,2026-04-27T13:00:35.842Z
019dcf07-0082-7eb0-ad88-4c24429f0ce8,Alex 336,female,0.51,39,adult,GB,United Kingdom,0.46,2026-04-27T13:00:35.842Z
019dcf07-0082-7eb0-ad88-4c2e305ff6b2,Alex 346,female,0.04,67,adult,US,United States,0.32,2026-04-27T13:00:35.842Z
019dcf07-0082-7eb0-ad88-4c53eb9c2e47,Alex 383,female,0.94,57,adult,US,United States,0.39,2026-04-27T13:00:35.842Z
019dcf07-0082-7eb0-ad88-4c55d60f6b13,Alex 385,female,0.89,49,adult,US,United States,0.29,2026-04-27T13:00:35.842Z
019dcf07-0082-7eb0-ad88-4c5b5167203f,Alex 391,female,0.23,10,teenager,CA,Canada,0.02,2026-04-27T13:00:35.842Z
019dcf07-0082-7eb0-ad88-4c5e65a978e2,Alex 394,female,0.68,49,adult,US,United States,0.91,2026-04-27T13:00:35.842Z
019dcf06-e7ab-7ee6-a192-edb88dc6e5b6,Alex 4,female,0.43,12,teenager,NG,Nigeria,0.7,2026-04-27T13:00:29.483Z
019dcf07-0404-7932-9fc3-945150d42d34,Alex 422,female,0.71,11,teenager,NG,Nigeria,0.29,2026-04-27T13:00:36.740Z
019dcf07-0404-7932-9fc3-94541058d0f1,Alex 425,female,0.62,46,adult,NG,Nigeria,0.14,2026-04-27T13:00:36.740Z
019dcf07-0404-7932-9fc3-945c7dc995f2,Alex 433,male,0.1,67,adult,GB,United Kingdom,0.79,2026-04-27T13:00:36.740Z
019dcf07-0404-7932-9fc3-945e6ab3d99f,Alex 435,female,0.13,49,adult,CA,Canada,0.27,2026-04-27T13:00:36.740Z
019dcf07-0404-7932-9fc3-946bb50ea782,Alex 448,female,0.94,29,adult,US,United States,0.35,2026-04-27T13:00:36.740Z
019dcf07-0404-7932-9fc3-946cfb89c1b0,Alex 449,male,0.71,68,adult,GB,United Kingdom,0.02,2026-04-27T13:00:36.740Z
019dcf07-0404-7932-9fc3-946fe06920ca,Alex 452,male,0.28,29,adult,NG,Nigeria,0.69,2026-04-27T13:00:36.740Z
019dcf07-0404-7932-9fc3-947077c6634e,Alex 453,female,0.46,12,teenager,KE,Kenya,0.82,2026-04-27T13:00:36.740Z
019dcf07-0404-7932-9fc3-947648096434,Alex 459,male,0.77,56,adult,CA,Canada,0.65,2026-04-27T13:00:36.740Z
019dcf07-0404-7932-9fc3-947c91cfc9af,Alex 465,female,0.6,11,teenager,GB,United Kingdom,0.44,2026-04-27T13:00:36.740Z
019dcf07-0404-7932-9fc3-94896e8a6d64,Alex 478,male,0.23,45,adult,GB,United Kingdom,0.5,2026-04-27T13:00:36.740Z
019dcf07-0404-7932-9fc3-948b1f526360,Alex 480,male,0.08,59,adult,US,United States,0.98,2026-04-27T13:00:36.740Z
019dcf06-e7ac-7c0c-8bc4-f76f8261f30d,Alex 49,male,0.3,69,adult,GB,United Kingdom,0.62,2026-04-27T13:00:29.484Z
019dcf07-0404-7932-9fc3-9499171823d7,Alex 494,male,0.19,33,adult,US,United States,0.46,2026-04-27T13:00:36.740Z
019dcf07-0404-7932-9fc3-949abbbd3e22,Alex 495,female,0.91,69,adult,US,United States,0.57,2026-04-27T13:00:36.740Z
019dcf07-08d0-7430-9c1a-06a9f61811d7,Alex 511,female,0.29,46,adult,KE,Kenya,0.37,2026-04-27T13:00:37.968Z
019dcf07-08d0-7430-9c1a-06c65bb19abf,Alex 540,female,0.5,43,adult,GB,United Kingdom,0.11,2026-04-27T13:00:37.968Z
019dcf07-08d0-7430-9c1a-06c9a8c09fbc,Alex 543,female,0.1,42,adult,CA,Canada,0.06,2026-04-27T13:00:37.968Z
019dcf06-e7ac-7c0c-8bc4-f7754a91b578,Alex 55,male,0.66,57,adult,NG,Nigeria,0.05,2026-04-27T13:00:29.484Z
019dcf07-08d1-72c5-ad92-4004a5fe8f91,Alex 568,male,0.22,18,teenager,NG,Nigeria,0.99,2026-04-27T13:00:37.969Z
019dcf07-0c77-792e-9ba9-0c0de113c553,Alex 605,male,0.87,61,adult,CA,Canada,0.18,2026-04-27T13:00:38.903Z
019dcf06-e7ac-7c0c-8bc4-f77b1638f04c,Alex 61,male,0.25,49,adult,US,United States,0.11,2026-04-27T13:00:29.484Z
